Iteration,Mask Proportion,Reward Average
1,1.0,-153.71209716796875
2,0.9590643274853802,-152.83209737141928
3,0.935672514619883,-151.38843790690103
4,0.9239766081871345,-150.27311197916666
5,0.912280701754386,-149.59673055013022
6,0.888888888888889,-147.62044779459634
7,0.8830409356725145,-147.62044779459634
8,0.8654970760233919,-146.61616007486978
9,0.8421052631578947,-145.56062825520834
10,0.8245614035087719,-145.2325642903646
11,0.8128654970760234,-145.2325642903646
12,0.8011695906432749,-144.98992919921875
13,0.7953216374269005,-144.98992919921875
14,0.7836257309941521,-144.6976776123047
15,0.7719298245614036,-144.01800537109375
16,0.7660818713450293,-144.01800537109375
17,0.7602339181286549,-143.44286600748697
18,0.7485380116959064,-143.44286600748697
19,0.7368421052631579,-143.44286600748697
20,0.7251461988304094,-143.28050740559897
21,0.7251461988304094,-143.28050740559897
22,0.6842105263157895,-142.57420857747397
23,0.6666666666666666,-142.39352416992188
24,0.6549707602339181,-142.39352416992188
25,0.6432748538011696,-142.39352416992188
26,0.6198830409356725,-141.72057088216147
27,0.5906432748538011,-141.37389119466147
28,0.5614035087719298,-141.37389119466147
29,0.5321637426900585,-141.37389119466147
30,0.52046783625731,-141.13240559895834
31,0.5029239766081871,-141.13240559895834
32,0.4795321637426901,-141.45682271321616
33,0.4561403508771929,-141.45682271321616
34,0.43859649122807015,-140.90518697102866
35,0.40350877192982454,-140.65863545735678
36,0.3859649122807017,-140.53784688313803
37,0.35672514619883033,-140.53784688313803
38,0.3333333333333333,-140.53164672851562
39,0.2982456140350877,-140.2471466064453
40,0.2807017543859649,-140.2471466064453
41,0.2573099415204678,-140.2471466064453
42,0.24561403508771928,-140.2471466064453
43,0.22807017543859645,-139.9740447998047
44,0.14619883040935672,-139.75100708007812
45,0.1286549707602339,-139.64984130859375
46,0.08187134502923976,-139.40221659342447
47,0.06432748538011696,-139.40221659342447
48,0.04093567251461988,-139.40221659342447
49,0.005847953216374269,-139.40221659342447
