Iteration,Mask Proportion,Reward Average
1,1.0,-143.56893920898438
2,0.9590643274853802,-128.22964731852213
3,0.9298245614035087,-124.96305338541667
4,0.9064327485380117,-121.57839457194011
5,0.9064327485380117,-121.57839457194011
6,0.8771929824561403,-120.74178568522136
7,0.8538011695906432,-119.28307596842448
8,0.8362573099415206,-118.62057495117188
9,0.8187134502923977,-118.3747049967448
10,0.7894736842105262,-117.08457438151042
11,0.7894736842105262,-117.08457438151042
12,0.7660818713450293,-116.38782755533855
13,0.7543859649122807,-116.38782755533855
14,0.7426900584795321,-116.20165506998698
15,0.7076023391812866,-115.35260518391927
16,0.6783625730994153,-112.4732437133789
17,0.6666666666666666,-112.2761967976888
18,0.6549707602339181,-112.2761967976888
19,0.6549707602339181,-112.2761967976888
20,0.6432748538011696,-112.1452153523763
21,0.6198830409356725,-111.96979014078777
22,0.6023391812865497,-111.96979014078777
23,0.584795321637427,-111.52652994791667
24,0.5672514619883041,-111.52652994791667
25,0.5614035087719298,-111.52652994791667
26,0.5497076023391813,-111.52652994791667
27,0.5438596491228069,-111.52652994791667
28,0.5263157894736842,-111.52652994791667
29,0.5263157894736842,-111.52652994791667
30,0.5029239766081871,-111.7019551595052
31,0.4678362573099415,-111.52652994791667
32,0.456140350877193,-111.52652994791667
33,0.39766081871345027,-110.74007161458333
34,0.391812865497076,-110.74007161458333
35,0.3742690058479532,-110.74007161458333
36,0.3567251461988304,-110.74007161458333
37,0.32748538011695905,-110.42373148600261
38,0.30409356725146197,-109.94536590576172
39,0.2807017543859649,-109.94536590576172
40,0.25146198830409355,-109.94536590576172
41,0.22807017543859645,-109.94536590576172
42,0.22807017543859645,-109.94536590576172
43,0.2222222222222222,-109.94536590576172
44,0.21052631578947367,-109.94536590576172
45,0.1929824561403509,-109.94536590576172
46,0.14619883040935672,-109.94536590576172
47,0.13450292397660818,-109.94536590576172
48,0.12280701754385964,-109.94536590576172
49,0.08187134502923976,-109.94536590576172
